TIPO,SEVERIDADE,DESCRICAO,ARQUIVO,LINHA(S)
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,63
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Bus/MessageBus.cs,63
CODE_SMELL,MAJOR,"Remove the unused private method 'RegisterOnMessageHandlerAndReceiveMessages'.",Core/Bus/MessageBus.cs,86 - 103
CODE_SMELL,MAJOR,"Remove the unused private method 'RegisterOnMessageHandlerAndReceiveMessages'.",Core/Bus/MessageBus.cs,86 - 103
CODE_SMELL,MAJOR,"Fix this implementation of 'IDisposable' to conform to the dispose pattern.",Core/Controls/FloatingDatePicker.xaml.cs,8
CODE_SMELL,MAJOR,"Update this method so that its implementation is not identical to 'DatePicker_Unfocused'.",Core/Controls/FloatingDatePicker.xaml.cs,117
CODE_SMELL,MAJOR,"Make '_container' 'readonly'.",Core/CoreModule.cs,164
CODE_SMELL,MAJOR,"Change the visibility of this constructor to 'protected'.",Core/DataServices/BaseDataService.cs,13
CODE_SMELL,MAJOR,"Change the visibility of this constructor to 'protected'.",Core/DataServices/BaseDataService.cs,13
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/DataServices/Mocks/AtividadeDataServiceMock.cs,14
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/DataServices/Mocks/AtividadeDataServiceMock.cs,14
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,80
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,80
CODE_SMELL,MAJOR,"Remove this useless assignment to local variable 'usuario'.",Core/DataServices/UsuarioDataService.cs,102
CODE_SMELL,MAJOR,"Remove this useless assignment to local variable 'usuario'.",Core/DataServices/UsuarioDataService.cs,102
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,154
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",Core/DataServices/UsuarioDataService.cs,154
CODE_SMELL,MAJOR,"Extract this nested ternary operation into an independent statement.",Core/Extensions/DecimalExtension.cs,7
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Helpers/DataBaseHelper.cs,41
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Helpers/FileHelper.cs,7
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Helpers/FileHelper.cs,7
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Helpers/NavigationSettings.cs,3
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Helpers/NavigationSettings.cs,6
CODE_SMELL,MAJOR,"Make '_queue' 'readonly'.",Core/Insights/BlockingQueue.cs,13
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Insights/InsightsConstants.cs,3
CODE_SMELL,MAJOR,"Add a 'protected' constructor or the 'static' keyword to the class declaration.",Core/Insights/InsightsHelper.cs,7
CODE_SMELL,MAJOR,"Make '_runningLock' 'readonly'.",Core/Insights/ProcessorInsightsQueue.cs,11
CODE_SMELL,MAJOR,"Make '_queue' 'readonly'.",Core/Queue/BlockingQueue.cs,14
CODE_SMELL,MAJOR,"Make '_runningLock' 'readonly'.",Core/Queue/ProcessorMessageQueue.cs,22
CODE_SMELL,MAJOR,"Either remove or fill this block of code.",Core/Queue/ProcessorMessageQueue.cs,178
CODE_SMELL,MAJOR,"Make '_runningLock' 'readonly'.",Core/Queue/ProcessorReturnQueue.cs,15
CODE_SMELL,MAJOR,"Either remove or fill this block of code.",Core/Queue/ProcessorReturnQueue.cs,106
CODE_SMELL,MAJOR,"Make '_cacheService' 'readonly'.",Core/Services/MonitorSincronizacao.cs,44
CODE_SMELL,MAJOR,"Remove this assignment of '_parametroReadonlyRepository' or initialize it statically.",Core/Services/MonitorSincronizacao.cs,70
CODE_SMELL,MAJOR,"Remove this assignment of '_eventAggregator' or initialize it statically.",Core/Services/MonitorSincronizacao.cs,72
CODE_SMELL,MAJOR,"Merge this if statement with the enclosing one.",Core/Services/MonitorSincronizacao.cs,109
CODE_SMELL,MAJOR,"Merge this if statement with the enclosing one.",Core/Services/MonitorSincronizacao.cs,124
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Services/MonitorSincronizacao.cs,147
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/Services/MonitorSincronizacao.cs,152
CODE_SMELL,MAJOR,"Either remove or fill this block of code.",Core/Services/MonitorSincronizacao.cs,205
CODE_SMELL,MAJOR,"Rename 'connected' which hides the field with the same name.",Core/SignalR/UsuarioConectadoHub.cs,86
CODE_SMELL,MAJOR,"Constructor has 10 parameters, which is greater than the 7 authorized.",Core/ViewModels/LoginPageViewModel.cs,61 - 71
CODE_SMELL,MAJOR,"Constructor has 8 parameters, which is greater than the 7 authorized.",Core/ViewModels/MainMasterDetailPageViewModel.cs,65 - 73
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/ViewModels/MainMasterDetailPageViewModel.cs,98
CODE_SMELL,MAJOR,"Remove this commented out code.",Core/ViewModels/MainMasterDetailPageViewModel.cs,133
CODE_SMELL,MAJOR,"Remove the unused private property 'MonitorSincronizacao'.",Core/ViewModels/ViewModelBase.cs,63 - 69
CODE_SMELL,MAJOR,"Use 'Count' property here instead.",FVS/Data/FVSRegistroRepository.cs,208
CODE_SMELL,MAJOR,"Make '_fvsModelosRepository' 'readonly'.",FVS/FVSModelosAppService.cs,18
CODE_SMELL,MAJOR,"Make '_formularioModeloGrupoRepository' 'readonly'.",FVS/FVSModelosAppService.cs,19
CODE_SMELL,MAJOR,"Make '_formularioModeloItemRepository' 'readonly'.",FVS/FVSModelosAppService.cs,20
CODE_SMELL,MAJOR,"Make '_formularioModeloItemOpcaoRepository' 'readonly'.",FVS/FVSModelosAppService.cs,21
CODE_SMELL,MAJOR,"Constructor has 10 parameters, which is greater than the 7 authorized.",FVS/FVSRegistroAppService.cs,42 - 52
CODE_SMELL,MAJOR,"'System.Exception' should not be thrown by user code.",FVS/FVSRegistroAppService.cs,343
CODE_SMELL,MAJOR,"Make '_nomeBtnCriarVisualizar' 'readonly'.",FVS/ViewModels/CriarFVSPageViewModel.cs,28
CODE_SMELL,MAJOR,"Remove the unused private field '_nomeBtnCriarVisualizar'.",FVS/ViewModels/CriarFVSPageViewModel.cs,28
CODE_SMELL,MAJOR,"Merge this if statement with the enclosing one.",FVS/ViewModels/CriarFVSPageViewModel.cs,155
